id,name,url,descr,logo,mood
12,The Blues Cove,https://radio.streemlion.com:2075/stream,- Toronto  ON Canada -,https://www.radio.net/images/broadcasts/cb/89/131120/1/c300.png,ornery
13,Blues Music Fan Radio,http://ais-sa2.cdnstream1.com/1992_128.mp3,- United States -,https://www.radio.net/images/broadcasts/d4/69/29778/1/c300.png,ornery
14,Amazing Blues,http://stream.amazingradios.com/blues,- USA - ,https://www.radio.net/images/broadcasts/f8/3a/38285/1/c300.png,ornery
15,WDCB Chicago,http://wdcb-ice.streamguys.org:80/wdcb128,- Blues Jazz USA -,https://www.radio.net/images/broadcasts/c6/fd/23072/c100.png,ornery
16,Flux – Rasta,http://streams.fluxfm.de/rastaradio/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,ornery
17,Dr. Dick's Dub Shack,http://streamer.radio.co/s0635c8b0d/listen?,- Bethaven  Bermuda - ,https://cdn-profiles.tunein.com/s51000/images/logod.png,ornery
18,Hi On Line - World,http://mediaserv38.live-streams.nl:8027/live,- World Music - Netherlands -,https://www.radio.net/images/broadcasts/2b/f7/33546/c100.png,ornery
19,Radio Paradise – World,https://stream.radioparadise.com/world-etc-320,- World Music - USA AAC -,https://somafm.com/img3/fluid-400.jpg,ornery
20,Roots Legacy Radio Dub,http://rootslegacy.fr:8080/listen1,- Lille  France - ,https://cdn-radiotime-logos.tunein.com/s190274d.png,ornery
21,Scratch Radio,http://www.scratchradio.ca:8000,- Strictly Ital Riddims - Vancouver  Canada - ,https://cdn-radiotime-logos.tunein.com/s2575d.png,ornery
22,Sheena's Jungle Room (WFMU),http://stream0.wfmu.org/sheena,- Jersey City  NJ  USA - ,https://wfmu.org/images/SheenaBanner2021-800x301.png,ornery
23,Radio Swiss Jazz,https://stream.srg-ssr.ch/m/rsj/mp3_128,Basel's Laid Back Jazz,https://cdn-radiotime-logos.tunein.com/s6814d.png,classey
24,DR P8 Jazz,http://live-icy.gss.dr.dk:8000/A/A22H.mp3,Jazz – Denmark,https://www.radio.net/images/broadcasts/4b/81/12828/1/c300.png,classey
25,Jazz Radio: Jazz & Cinéma,http://jzr-wr20.ice.infomaniak.ch/jzr-wr20,- Lyon  France - ,https://www.radio.net/images/broadcasts/26/e4/32204/2/c300.png,classey
26,Hi On Line - Jazz,http://mediaserv38.live-streams.nl:8006/live,- Jazz - Netherlands -,https://www.radio.net/images/broadcasts/2b/f7/33546/c100.png,classey
27,Jazz24,http://live.wostreaming.net/direct/ppm-jazz24aac256-ibc1,- Jazz - USA - ,https://www.radio.net/images/broadcasts/cc/42/1655/1/c100.png,classey
28,Linn Jazz,http://89.16.185.174:8000/stream,- Jazz - UK -,https://www.radio.net/images/broadcasts/b8/ce/9339/c100.png,classey
29,NAIM Jazz,http://mscp3.live-streams.nl:8340/jazz-high.aac,- Jazz - UK -,https://www.radio.net/images/broadcasts/d1/09/12344/2/c100.png,classey
30,Positivly Baroque,http://new.play.organlive.com:7002,- Classical Baroque - USA -,https://www.radio.net/images/broadcasts/d8/8c/110024/2/c100.png,classey
31,Radio SRF 2 Kultur,http://streaming.swisstxt.ch/m/drs2/mp3_128,- Classical Jazz Switzerland - ,https://www.radio.net/images/broadcasts/5e/51/4499/c100.png,classey
